"ppt_ID","label","general_1","general_2","like_fr","offens_fr","impression_1","impression_2","impression_3_4_TEXT","comment"
113,"the homeless","lonely and people who have no money. alot are sketchy and probably on drugs","a lot of old clothes with holes. long hair. they look overweight and sketchy.","well because thats more universitial used and gets straight ot the point. they dont have a home.","well it makes it eel like its jsut their current situation. while homeless doesnt feel like they can get out of.","i dont get made.  Istill think its straight othe point that they dont have a home. it doesnt offend me","i think they are more social justice and caring.",NA,NA
114,"people who experience housing insecurity","People living paycheck to paycheck. Drowning in debt. other financial troubles","A hard working individual probably fallen on hard times and is struggling to stay afloat.","I think it is far less degrading because you never know someones specific situation.","Homeless sounds like you aren't trying which most of the time isn't true. unfortunately society has deemed ""homeless"" as a way to talk down to the members struggling in our society, most of them are not ""bad actors""","A person who has a massive ego or thinks of themselves as ""better"" than the majority of society.","Someone who has compassion for people who might be down on their luck or a  member of their family got sick and it financially ruined them.",NA,NA
115,"the homeless","People who through various circumstances have found themselves without a place of residence. These are often out of their control and related to the core issues in capitalism.","They live on the street and don't have access to the basic needs for surviving such as shelter, food, or medicine.","The other option is just a watered down version of the term to make non homeless individuals feel better about the situation without doing anything to actually address the issues","The same reason as my previous written response in this study that didn't disclose that it requires written responses. It's a more honest term that doesn't attempt to rebrand an issue instead of working to fix it.","It would greatly depend on what else they're saying, their use of the term 'homeless' isn't something that tells me anything about them.","They are probably someone who pays lip service to social issues without following through with action.",NA,NA
116,"the homeless","Homeless is a term used to describe people who are unhoused. The homeless have typically ended on living on the streets due to mental health, drug addiction, and/or loss of income. Many have ended up being homeless because of bad choices, others may be homeless because of just plain bad luck.","This person previously had a stable job and enough money to afford rent for a small apartment. They began to drink socially to fit in with the crowd but more and more, they started to depend on alcohol to make them feel secure in other situations until their drinking became out of control. They started showing up late for their work shifts and their work quality went down due to hangovers from drinking the night before. They lost that job and income, eventually they were evicted due to no money.","The term homeless conjers up images of hobo's or bums, generally dirty and drunk. Whereas the term housing insecurity is more descriptive and can be used for not only those who are homeless but also for those that have become unhoused because of other life events (such as job loss) which often has caused a cascading negative effect resulting in losing housing as well as a host of other problems.","The person may be homeless through no fault of their own such as being terminated or layed off from their job. They may have also lost income due to illness either their own illness or that of a family member. Even if they still have a place to live, evcition may always be looming due to future income being a mystery. An example would be losing your job this month, having money for next months rent but not knowing if you will have money the month after for rent.","Someone who uses this term may simply have no understanding of how someone could become homeless through no fault of their own. Some people assume that someone who becomes homeless is either an alcoholic, drug addict, or simply do not want to work. They seem a homeless person on the street and instantly make a false assumption or revert to the typical stereotypes regarding the unhoused.","This person has a good understanding that becoming homeless isn't the result of bad decisions but often has occured for numerous reasons. They understand that the term ""homeless"" seems to assume that all unhoused people have made the choice to be homeless. They know that unhoused people are not just single adults but many women and children. This person also would be more apt to help the cause and to help find solutions for the housing problem.",NA,NA
117,"the homeless","Fallen on hard times, no one to take care of them, mental health struggles","This person is currently in need and trying to hopefully get back on their feet.","It is more descriptive of their actual situation. “Experiencing housing insecurity” is more general than “homeless” and can include more than just homeless people.","It is more gentle and not as abrasive","I don’t assume they are being degrading or anything. I think it is normal language to use for most people.","I perceive this as someone who is trying to be sensitive towards others.",NA,NA
118,"people who experience housing insecurity","People who have housing insecurity may be down on their luck.  They may have lost a job, or have medical bills, or maybe addiction.","Unlucky, sad, hopeful, depressed, down","It is more straight to the point.","it is more flowery and can be used for a variety of situations.","They are more realistic and see what is really going on.  Don't sugar coat it.","They care more about other people's opinions.  Feelings over facts.",NA,NA
119,"the homeless","those whom late stage capitalism has destroyed and left to die slowly. the broken, the lost, the unfortunate, and the wronged. America is broken and the homeless are a symptom of a greater disease we as a country refuse to heal. we have enough empty homes to house them, we have billionaires who could in an instant end the suffering of millions and choose not to. fuck this country.","probably someone who has a min wage job and yet cannot afford the basics that every human should have a right to. they may live out of their car if they are lucky. or have a shopping cart that contains the sum of their lives. the latter is rarely employed and lives on what scraps society decides to leave them","because we shouldn't shy from using terms that make us uncomfortable. if we become comfortable we become complacent. then those people become forgotten","its a softer term that could mean a number of things. perhaps they are barely getting by or are in between leases. its to broad, its to nice.","honestly it depends on the rest of their character. this one term does not paint a whole picture and is a fairly normal phrasing to use.","people who either are discussing a broad issue or are scared of pejorative terms",NA,NA
120,"people who experience housing insecurity","People who experience housing insecurity are generally disadvantaged to begin with. The majority fall into a minority or protected group. Many may have gone through a hard time and just had difficulty recovering from that financially.","I would guess that this person is a good person who wants to work hard and care for themselves, but has not been able to catch up financially due to one or more factors out of their control.","I think it is broader and encompasses more individuals. This could be individuals who are couch-surfing or in shelters, but aren't necessarily living on the street.","I think homeless has just picked up a very negative connotation over time.","I think they're probably well-meaning. I think homeless was the accepted term for a very long time, so I would imagine they're older and talking about the housing insecure population.","I would assume that they are younger and maybe more well-read on news and current events. They are probably more educated as well and make an effort to use more inclusive terminology.",NA,NA
121,"people who experience housing insecurity","They are low income, but that can be for many different reasons from lazy to disabled.","This person is low inccome for a variety of reasons and can't pay their rent.","Homeless is the word I am used to. If they person currently is living on the street homeless should be used, but if they have some sort of dwelling the other term is better in order for people to understand their situation.","I see it as less offensive because that is what society tells us now. The world homeless has a negative connotation, but it doesn't have to.","As long as they aren't using it in a derogatory way I find it a fine way to describe someone.","I feel like they think the word homeless is derogatory.",NA,NA
122,"people who experience housing insecurity","In my opinion, people who experience housing insecurity are those in society who are unable to have the stability required in some facet of their life which impacts the ability to do that which is necessary to gain and keep home ownership. It might be a difficulty with illegal substances or an inability to hold down a job, or even the wherewithal to make timely payments on the mortgage and taxes.","The person would be on the fringe of society. They might be a person with a substance abuse issue or mental health issue(s). These people would have a hard time adapting to the requirements of home ownership.","I believe that language should be direct and not muddy the waters. The term homeless refers to a person or family that has no place to live. It does not make a judgment but merely describes a situation.","'People who experience housing insecurity' sounds like the whitewashing of the term homeless but serves the opposite purpose. That is to say, when someone is homeless there are myriad reasons for this occurrence, and no shame should be attached. By trying to sanitize the term homeless it becomes apparent that the author of 'people who experience housing insecurity' feels their is a stigma attached to the term homeless when there shouldn't be.","I perceive someone using the term homeless as being intelligent and straightforward, not mealy mouthed trying to obfuscate the obvious.","People who use the term 'people who experience housing insecurity' should be perceived as purveyors of garbage. They are making a complexity out of nothing, trying to sterilize a word(homeless)that DOES NOT have negative connotations.",NA,NA
123,"the homeless","Homeless people to me are people who live on the street with no shelter.","This person is sad.  They are probably cold.  They are ashamed and humble.","People think bad of others who are ""homeless"".","Because it doesn't necessarily mean they are homeless and intend to stay that way.","I don't perceive anything about someone who uses that term.","I don't perceive anything about that person other than they are trying to explain the situation of someone else.",NA,NA
124,"the homeless","unfortunate people who have been failed by society","this person is a normal person without a home, likely tired","not every term has to be gentle and nice, sometimes we can just be straightforward","neither are offensive but this one is better","i don't perceive them in any particular way this is a normal term","they probably live in constant fear of being deemed ""discriminatory"" and constantly walk on eggshells",NA,NA
125,"people who experience housing insecurity","I fear those in low income communities, single family homes or just those who do not have a consistent income face housing insecurity as one bill can make the difference if they still have a home","they seem to be like any other person they are trying to make a living or they are the opposite and preside to living on government dime.","I think the stigma for homeless has always been bad, you never feel bad for those people because you are quick to judge them, you always think it is their own fault but you never know someones story","Because it just seems like it is only temporary.","they cannnot help it, it is the term we have all heard we hear it in movies and read it in books I think before it wasn't an issue","They are trying, they are showing that they are educated and can be seen as someone who is trying to be better",NA,NA
126,"people who experience housing insecurity","Struggling, financially insecure and needing help.","They likely have struggling issues with financials and even the basics. Bills can be an issue and they likely need assistance from the government.","I don't find it offensive and find it a neutral use of the language. It's less wordy and I feel like should be the standard.","It's more politically correct and technically the least offensive way possible to say the term. Yet I don't find homeless offensive either, but it's less politically correct.","I think they can be either a good or bad person it depends on what follows after that is said and how they treat the persons struggling individually.","I think they are more likely to be liberal and more trying to be the least offensive they can be. it's not a negative it's just someone who is might overly care about being perceived as offensive, but it is the politically correct way.",NA,NA
127,"people who experience housing insecurity","Not financially secure. Lower income","Somewhat stressed about finances and probably always busy with work to maintain housing security","I feel like its more realistic and less demeaning than the term ""the homeless"", people usually use it in such a derogatory manner.","People associate homelessness with dirty, drug addicted people though that is frequently not the case. People attach negative connotations and social cues towards the term 'homelessness'","I feel like they are ignorant and do not realize that their terms are negative and lead to further negative stereotypes and harm.","I feel like they understand better how easy it is for someone to experience housing insecurity and how wrong it is to use the other term.",NA,NA
128,"people who experience housing insecurity","I feel bad for people who experience housing insecurity.","This is a person who is struggling and needs help.","It's easier and shorter to say.","It doesn't sound as offensive.","They are a normal person.","They seem pretentious. They try and use big words to seem smarter than they actually are.",NA,NA
129,"the homeless","People that are having bad luck.","They are a good person, just not in a good position.","The other one is trying too much.","Neither terms are offensive to me.","I don't feel any specific way towards them.","I think they are trying to be sensitive but its a bit too much",NA,NA
130,"the homeless","Unfortunate, tragic. unwell, bum","They are likely a bit dirty, and mentally unwell.","The other one seems pedantic for no reason. It's trying to make someone feel better about ""fixing"" the name rather than the problem.","Again, the other one is pedantic and completely unnecessary, solely to stroke the egos of activists who have no desire to solve a problem.","They are real as hell and don't get caught up minutia of the problem","A loser who has desire to solve a problem but only to stroke their own ego and get a moral high ground over others.",NA,NA
131,"people who experience housing insecurity","there are a variety of reasons people have housing insecurities.  People without a job, experiencing divorce, do not make enough money to afford the housing market., people wiht addiction  issues, mental illness.","Hard to describe because there is not one way they appear depending on the reason. I would say the most common would be stress and depression apparent on there faces.   Some could reflect then inability to take care of themselves and some are doing the best they can with resources around them.Thsy don't all dit in one box.","Homeless seems to have more discrimination attached to it and more judgement. It should'nt because it is usually accurate. So using the other term may prevent immediate judgement and more empathy.","I don't fime either offensive because they describe what the situation is.  It think it is just because how people recieve the discription that makes on less ""offensive""than the other","I percieve them as using a word to describe the situation that another person is in. It is not inherently offensive but depends on the attitude of the person saying it. You must see that person as and individual and well as those in thei situation","I percieve them as using a difrerent way to describe the situation. They could be using it to virtue signal, a cuurent way of describing it, or someone trying to be more empathtic.",NA,NA
132,"the homeless","Cold, veteran, mental illness, hungry, drug addict, sad, disconnected, no social support.","A man in layers of clothing, smelly, trying to keep warm and begging for food by the side of the road. He is probably not violent and appreciates any respectful human contact he gets.","Because it is shorter and easier to remember. And now that I think about it, I've changed my mind but I can't go back in this survey. Even though ""housing insecure"" will end up being stigmatized and thus fall out of favor, I still like that it doesn't define the person by their housing status. So, in retrospect, I would have chosen differently.","It doesn't define or make housing situation the basis of someone's identity.","I am OK with that term as well. My perception only changes if I sense judgement in the other person.","That they are trying to be woke and use current terminology. And also that they think about homelessness and the societal framework that helps to cause it.",NA,NA
133,"people who experience housing insecurity","People who were completely screwed over by the system and should ideally be receiving help since no one should be homeless.","I can't describe a person I do not know. Chances are they aren't very wealthy","It's a lot more direct - no room for nuance if the situation doesn't call for it.","Because it can be a temporary thing whereas homeless is pretty much a state","I don't perceive anything about them","I don't perceive anything about them except they may be more liberal oriented",NA,NA
134,"the homeless","I think of the mentally ill and the complete lack of a system to help rehabilitate a large portion of the homeless that are mentally ill and struggling with holding on to realtionships and jobs. Many have substance abuse issues to self medicate.","This person is scruffy, disheveled, unkempt, has dirty cloths. Often multiple layers of dirty clothes. Sometimes a shopping cart by their side holding their belongings. Sometimes they are begging. They look lost.","The term ""homeless"" has been dragged through the mud politically for decades now, where I think it still holds a very negative connotation for certain people. Housing insecurity could be anyone at anytime of the working and middle class depending on financial problems that suddenly arise. The term insecurity is more of a thoughtful term because some people can't imagine being homeless but how secure are we really when a huge percentage of our homes are owned by banks.","Homeless has political ties to the Reagan era Welfare Queen propaganda. Homeless has been dragged through the dirt, both politically and racially. For a lot of people, it ties in crime, prostitution, drugs, fear, mental instability and most of all, failure. Housing insecurity gives hope back to getting housing secured once again. It also garners more empathy since it is not as dragged through the mud as the term ""Homeless"".","Someone who sees in black and white. Once homeless, they are damned to the streets forever with little to no redeeming value to society. The kind that will do the soup kitchen once a year to get themselves into heaven or something like that. A person who sees themselves above the homeless.","Thoughtful, more understanding, someone who empathizes with people who are struggling with housing.",NA,NA
135,"people who experience housing insecurity","People that are unemployed or who are poor.","Person who is uneducated and has very few work skills.","I feel homeless is derogatory and makes people feel less then human.","It is self explanatory and more people can relate to it because most people at one time had problems paying their rent or mortgage.","Lack of respect for the homeless. It feels like they are insulting them.","Someone who wants to help the situation and understands their struggle.",NA,NA
136,"people who experience housing insecurity","unlucky, underfunded, slave wages","Strong, unlucky, impoverished, surviver","because homeless is more finite, Housing insecurity is a broader term.","Because it doesn't have the same stigma attached","i don't perceive them anyway in particular.","Someone younger and more knowledgeable of the newer terminology",NA,NA
137,"the homeless","I think of people who are struggling greatly and should not be in that situation.","This person is in need of help.","It is a broader and slightly more descriptive term. Many homeless people have access to temporary housing, but nothing long-term.","The term ""homeless"" has been around for long enough for it to become a stereotype that people learn about through television and movies.","I assume that they are an older person.","I assume that they are a younger person, social worker, or volunteer.",NA,NA
138,"people who experience housing insecurity","I associate people with housing insecurity that struggle to pay their mortgages and bills that let them keep their house thus leading to the possibility of their home being stripped away from them due to not fulfilling the responsibility to keep ownership of the house.","This person struggles with keeping ownership of their house and they struggle to keep up with bills and paying their mortgage and is very stressed due to the possibility of losing their home that they lived in for so long.","It feels infinitely more harsh to call people homeless and seems rather insensitivity and has many more negative thought behind it. I believe people who experience housing insecurity is a much nicer term and calls to action to help said people get out from this experience to live better lives.","It's less offensive due to not being negative about people struggling to secure a home and has less harsh judgement compared to calling someone homeless sounds like.","I perceive it to be very negative that they want nothing to do with said person and that they view them as failures to not living up to the standards of people who have a home.","I perceive it as someone struggling who needs help in life in order to get into a comfortable position and to attain housing security just like anyone else as everyone deserves a home and a place to belong.",NA,NA
139,"the homeless","Unfortunate individuals who have been dealt a bad hand at life. If given the chance, the homeless can be just as intelligent and hardworking as anyone else in the middle class.","Someone who is down on their luck. They are probably wearing only rags. They have some odor about them. They likely are desperate (or depressed).","It is direct. I tend to dislike euphemisms. Housing insecurity is far more obscure and ambiguous.","It is indirect fluff that is not as biting. Homeless can often be used as derogatory.","I see them as a normal person. They do not mean any harm. If anything, they may be trying to address the issue in some way.","They do not fully understand what they are talking about. They are probably very liberal, and have had little contact with the homeless in general.",NA,NA
140,"the homeless","Those who have no place to stay nor reside","No food torn clothes begs no house","Shows a little bit if sympathy and compassion other than homeless","Because at least it will show respect","I correct them and tell them that it is not right to use that word and again those called by this word find it offensive","That it is the right term to use that using this at least using it and they find it less offensive",NA,NA
141,"the homeless","The term ""the homeless"" evokes images of individuals living without stable shelter, often in urban areas, seeking refuge on streets, in shelters, or public spaces. Associations that come to mind include vulnerability, resilience, poverty, societal marginalization, and the struggle for basic necessities like food, warmth, and safety. It also brings to mind systemic challenges such as mental health issues, economic inequality, and housing crises.","
I imagine meeting a middle-aged man named John, wearing layered clothing to stay warm. He has a weathered face and tired eyes that reflect both hardship and resilience. John carries a backpack filled with his belongings and perhaps a blanket or sleeping bag. Despite his situation, he greets others with a polite nod, maintaining a sense of dignity. He might share that he once worked as a mechanic but lost his job and home due to unforeseen circumstances, such as a medical emergency.","the term ""The homeless"" has a very bad stigma to it.","because of what homeless people are always described as or expected to look like","i have no issues with such person","i have no qualms with such person",NA,NA
142,"the homeless","They are people who do not have a support system and have been lost in the system with no one to help them.","They are someone who had several unlucky events happen in their life and they were unable to regroup from it.","It's a term that everyone knows what it means and it makes easier to start a conversation with it.","I think they are both the same level of offensive.  People who are homeless do not care that is what they are called.","I think they are just trying to help everyone understand what they are talking about and they are good people.","I think they are trying to be politically correct and dance around what they are truly trying to say.",NA,NA
143,"the homeless","The homeless are people who through unfortunate circumstances have ended up without a permanent place to stay. Immediate associations that come to mind are poor, struggling, in crisis.","The person may be wearing dirty clothes or be unwashed depending on whether or not they are able to access showers or laundromats. They have long hair, a beard if they are a man.","'The homeless' seems slightly dehumanizing, though I would rather speak to someone who is homeless to see which they prefer.","It seems less dehumanizing.","I wouldnt necessarily view them as any different than most people, its a common term.","I would perceive them as soemone who is involved in social justice spaces.",NA,NA
144,"people who experience housing insecurity","people who need assistance and are not able to be certain of their living situation","I cannot describe them beyond someone experiencing housing insecurity because anyone could experience this.","It describes the situation better","I'm not sure. Saying that means that saying the term ""homeless""  has negative connotations, which implies that the person who is homeless is somehow bad which is not true.","I don't perceive them in any way.","I don't perceive them in any way.",NA,NA
145,"people who experience housing insecurity","Anyone can experience housing insecurity.","This time of year, this person is cold, typically hungry, probably depressed and anxious, likely not showered.","I prefer that term because it is less judgmental. Homeless has turned into a slur.","""The Homeless"" has become a slur.","This person is either well-intentioned and not well-read, or they are speaking derogatorily about the unhoused.","This person is likely compassionate and either doing something to help change the system, or willing to.",NA,NA
146,"the homeless","Unfortunate people who have to endure lots of hardship and indignity.","I would see if there is any way I could be helpful to the person.","It seems less insulting to the group in question.","It shows that it is just a situation and not necessarily a defining characteristic.","I wouldn't have any specific thoughts on them - it is probably just familiar to them.","I would think they were trying to be sensitive to the group's feelings.",NA,NA
147,"the homeless","Folk who have fallen on hard times and lack secure shelter. They may or may not have employment and may or may not have mental, physical, or substance abuse issues.","Down on his luck. His clothing is dirty as is he. He's wearing multiple layers to protect from the cold.","I feel the term ""homeless"" has a stigma connected to it.","Homeless has a stigma attached to it.","The homeless is a common parlance, so I wouldn't look down on the person for using the term, but it would depend instead on how it was used.","I perceive someone using the term ""people who experience housing insecurity"" as someone who wants to insure accuracy in the subject they're talking about.",NA,NA
148,"the homeless","It is very unfair that we live in a world where people do not have homes. There is too much wealth for this to be a problem.","This is a person who is down on their luck in life","People who currently do not have stable housing.","It humanizes the people in this condition.","Very pretentious people., people whom lack understanding of the statement.","More realistic, a more human outlook on these peoples circumstances.",NA,NA
149,"people who experience housing insecurity","It makes me think of people below the poverty line that struggle to make ends meet. When someone's in a situation like that, any unexpected expenses can completely devastate a person or family's finances. Other examples might be people who live in areas that lack clean water or are more prone to natural disasters.","The person I'm imagining is a single mother with two kids. She works as much as possible but suffers from depression which makes everything a struggle.","It's not ambiguous, it's familiar... I suppose some might consider it slanderous at this point in time, but it's accurate, which I feel is important for understanding the actual situation that these people are in. ""Housing insecurity"" makes it sound like a person ""sometimes"" has a home, and that's not accurate for a large amount of homeless people.","It's obviously a newer term and sounds a lot more friendly than ""the homeless."" The term ""homeless"" has been around for a very long time, and therefore carries with it a lot of negative connotations that don't apply to a lot of people in that situation. However, as I stated, I think it's important to face the facts and not shy away by using confusing language that implies that they're not homeless.","I wouldn't think anything of it. Unless it's used negatively, it's accurate and aids in understanding. Nearly any label can be used negatively, that doesn't mean that we shouldn't speak clearly. There is a danger in being ambiguous when dealing with serious issues like homelessness.","I would imagine they are probably a little more educated or informed than I am, as everyone I know would use the term, ""the homeless."" I might think they're involved in programs that aid the homeless, or perhaps they're a politician, someone who needs to be careful about what they say.",NA,NA
150,"the homeless","Gross, dirty, stinky, drugs, lazy, mental illness","They are high on drugs and smell bad","I think it calls is like it is","It softens the terminology to something less negative","I perceive them as being a realist","I perceive them as a woke liberal",NA,NA
151,"people who experience housing insecurity","I think about low income families often living either in mobile homes or in dangerous areas of town who are barely making ends meet.","This person looks sad and stressed. I also imagine them to have old clothes on.","I think it depends on who we are referring to . ""Homeless"" in my mind means someone who does not have a house. ""House insecure"" means someone who is barely able to keep their home. If referring to unhoused people though, homeless is quicker to say than ""people who experience house insecurity"", which is why it is my preference.","""Homeless"" has a bad reputation and calling them ""people"" who experience housing insecurity seems more humanizing.","I think they are probably just someone who is not up to date on what is more socially acceptable to say.","I think they may be someone who overthinks the wording they use in order not to offend anyone. They are walking on eggshells in a sense.",NA,NA
152,"people who experience housing insecurity","I think of the individuals that are living on the street and don't have a place to call home.  They seem to wander during the day and panhandle to make ends meet.","It is a person who is shabbily dressed and sometimes walks the street and a lot of times has a dog with him.","It seems a bit more human than being homeless.  When I hear homeless I think of the people wandering the streets and panhandling at the intersection.","It is a definition that makes me think that the person may have a temporary place of residence and that they are working or looking for employment.","I think that they are using the term that most of us use to describe a person living on the streets.","I think that person doesn't seem to have a grasp on the real problem of homelessness.",NA,NA
153,"the homeless","The homeless need help. No one deserves to live on the streets. I understand that when it comes to helping them a lot of them need mental assistance. I associate the homeless with needy.","This person would be a normal person. Perhaps unkept. Homeless people vary in personality. This person would be in need of help.","It's the most commonly used and known term. I don't feel as if it's derogatory unless it's made to be.","I feel like the term housing insecurity shines a brighter light on the situation thus being more offensive. There's nothing wrong with the term homeless. I've been homeless and had no issue describing myself as such.","I perceive them as a person I don't know much about. It's hard to discern anything about them without context.","I perceive this person as someone who really tries to serve and uplift the community.",NA,"enjoyed it thanks!"
154,"the homeless","An individual without a shelter or place to stay.","Sleep deprived, usually underweight and looks pale.","Individuals actively looking for shelter or a place to stay.","This is because the term can imply that the ""homeless"" are indeed and doing everything in their power to get a place to stay.","someone who judges people based on their looks .","someone who is warmhearted and avoids instantly judging people.",NA,"n/a"
155,"the homeless","A group of people who, for one reason or another, are transient and do not call one place home. Commonly associated with drug/alcohol addiction.","A person who spends their days and nights sleeping in shelters or in the streets. Disheveled, hungry, mentally unwell.","""People experiencing housing insecurity"" seems to be a ridiculously long term to explain someone who is lacking a place to call home","This term sounds like an exaggerated way of describing someone who is homeless. Though I am unsure of how the term ""homeless"" would offend someone, I'm sure it still would.","Someone who uses the term ""the homeless"" is seemingly using normal language and terminology in my opinion.","I perceive someone who uses the term ""people who experience housing insecurity"" to be excessively sensitive to the feelings of certain groups. This person is also easily offended and potentially combative to those with opposing opinions.",NA,NA
156,"the homeless","The first thing that comes to mind is ""mentally ill and the addicted"". I have personally been on the streets in my lifetime, and the vast majority of homesless people are ones who fell through the cracks of society for one reason or another.","A little scraggly looking with multiple layers of clothes on and usually a good size backpack or bag for their posessions. Eyes with a glazed look that don't really see you when they look.","It is succinct and to the point as well as colloquially used.","""people who experience housing insecurity""... If im expected to say this when interacting with the less fortunate, I would end up stepping on a lot of toes trying to keep it in mind. I find that stumbling over labels is more offensive than getting it wrong and being corrected.","I would view this person as the average if we are referring to citizens of the USA","This would come across as arroghant and condecending to me.",NA,NA
157,"people who experience housing insecurity","homeless people or people who may lose their home","poor, hungry, lack of variety of clothing, unhygienic","i already know it and am used to saying it way more than people with housing insecurity which is also more of a mouthful","i don't really think either of them are offensive but if I had to choose, this one just sounds like it's meant to sound nicer. I think one-word names for certain people sound more offensive in general","i feel completely neutral towards them","maybe someone who likes to use more words than necessary to sound smarter",NA,NA
159,"people who experience housing insecurity","When I hear the term ""people who experience housing insecurity,"" I think of individuals or families who lack stable, safe, or adequate housing. They might be facing financial struggles, displacement, or an uncertain living situation, constantly worrying about where they'll sleep next. These individuals may also experience the emotional toll of instability, such as stress, anxiety, or marginalization from society. Housing insecurity can be associated with economic hardship, job loss, and systemic","If I were to meet someone who experiences housing insecurity, I might picture them as someone navigating multiple challenges in life. They could be someone struggling with financial difficulties, perhaps due to job loss, low wages, or rising living costs. This person might move between temporary shelters, staying with friends or family, or even sleeping in their car.","I prefer the term ""people who experience housing insecurity"" because it emphasizes the person first, recognizing their humanity and framing housing instability as a condition they are facing rather than a defining characteristic, which helps avoid stigmatization or labeling.","""People who experience housing insecurity"" is less offensive because it focuses on the temporary situation they are facing rather than labeling them as ""homeless"" or ""insecure,"" which can carry negative stereotypes and dehumanize individuals by defining them by their circumstances.","When someone uses the term ""the homeless"" to describe a person or group, it can feel reductive, as it labels individuals by their housing status rather than recognizing them as full, complex people with diverse experiences and identities.","When someone uses the term ""people who experience housing insecurity,"" it shows a more empathetic and respectful approach, acknowledging the temporary and situational nature of their struggle while emphasizing their humanity beyond their housing status.",NA,NA
160,"people who experience housing insecurity","When I think about people who experience housing insecurity, it could be an individual who has been unemployed for a long time, or someone who just lost a job.  In addition, the person could be completely homeless.  Another time of person who might have housing insecurity is a person who just graduated college and previously lived in a dorm.   I would also think about a single parent who might have just received a rent increase, which she is unable to pay.","I would assume the person just received a rent increase, which she or he cannot afford.","I think saying people who have housing insecurity is a polite way of saying homeless.","I believe saying people have housing insecurity is more polite than saying that they are homeless.","I believe the person using the term homeless is just saying what he or she believes is correct.","A person who using the term, ""people who experience housing insecurity is very liberal, and does not want to offend anyone.",NA,NA
161,"people who experience housing insecurity","i feel empathy for them but do worry about crime and addiction issues","they are sad and probably have some kind of mental issue","it's easier to understand and doesn't comply to woke terminology","because it's more straightforward and to the point","i perceive of that person as not caring about politically correct terminology","i perceive them as a liberal and probably oversensitive",NA,NA
162,"the homeless","A homeless person is often dirty, cold, and hungry. A wide variety of circumstances got them to where they are today. Helping them is part of being a kind person, but may not be very effective in the long term.","This person has poor hygiene and is cold and hungry. They might have some addictions or mental illness. Surviving day by day is their primary goal.","For one, it's shorter to say. Two, housing security sounds like a PC way of saying things that is not necessary.","What it seems like to me is that someone thought homeless was a bad word and so they created a PC way of saying it, which actually has the opposite effect in my mind and stigmatizes the whole problem.","I have never ever perceived anything different about a person who uses the term ""homeless.""","In the effort to be non-offensive, they have to use five words instead of one, which makes me think less of them.",NA,NA
163,"the homeless","People who have no shelter and live on the streets","The person has no home to live perhaps lives on the street","It sounds more pleasant and not insultive as some might take it to be","It sounds more pleasant and doesn't make anyone feel offended","respectful, kind and a very learned","I feel good because calling someone a homeless is so offensive",NA,NA
164,"the homeless","drugs, dirty needles, feces, not accepting help, tents, stolen bicycles","Most of the homeless near me are drug abusers who dont want to accept help or to get clean.","its such a HUGE issue right now all over the US & im more familiar with that term","the other term requires too much over thought","I would perceive them normally for using the term homeless because it is a normal & widely accepted term.","People who use that term are probably extremely liberal.",NA,"thank you"
165,"the homeless","People who have either lost their homes or cannot afford one due to circumstances (either external or internal)","Usually they appear tired or disoriented, they aren't confused but seem to be used to living the way they are","I believe it's just due to familiarity, although I do believe the phrase 'the homeless' has some negative connotations I doubt homeless people have a preference or would prefer a new term","It gives more detail on what could possibly be a circumstance and address the situation rather than a term like 'homeless' which sounds more permanent and categorical","I don't have any strange perceptions or anything, it's basically the only term I hear in daily life and around me so I'm used to it and don't think much about it","It feels like a phrase a business or company/organization would make people use instead to be a bit more politically correct or inclusive but doesn't give off the energy of a genine attempt at change or help but rather to appear more polite in a professional way",NA,NA
166,"people who experience housing insecurity","I think of people who are homeless, have low income, inconsistent income, and who have barriers towards obtaining and maintaining employment.","I imagine they are quite stressed and are trying to handle many things in their personal lives at once. They likely have one or more young children they have to tend to, and they are either single or in a relationship with someone who is also struggling with executive functioning.","I think it indicates that they do not have a permanent shelter and my entire life, this population was referred to as the homeless. I will call them whatever they like but the homeless resonates with me because I heard that term my entire life.","I think there's a stigma with being homeless and can be perceived that it is there fault. Housing insecurity alludes that the person has shelter but because of other factors, they are not making enough money to cover their housing expenses.","I am that person so I think it is a generational term (I'm middle aged). I think these people are middle aged or older and use the term as it is what we heard all of our lives, and do not use ""the homeless"" in a derogatory way.","I imagine they are younger and lean more liberal (I also am liberal though). I think they view these individuals as victims of societal failures of capitalism, rather than responsible for their own plight.",NA,NA
